A;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24; ;x;xk; ;% Erro;d
0;2,953125;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,982168746;0,9890106494363490000;0,985316021947987000000;0,374968782;1
1;-1,5625;4,515625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,983245422;0,9896817622291750000;0,983113614312774000000;0,668096527;1
2;0;-1,5625;4,515625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,984846545;0,9906757347163930000;0,980962482628943000000;0,990175696;1
3;0;0;-1,5625;4,515625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,987048013;0,9920347824063590000;0,983113614312774000000;0,907440194;1
4;0;0;0;-1,5625;2,953125;0;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,989981688;0,9938401483812820000;0,985316021947987000000;0,865115988;1
5;-0,390625;0;0;0;0;3,34375;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,983938821;0,9901253049207510000;0,956532826551185000000;3,511900213;1
6;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,985292392;0,9909579854995410000;0,939676583177956000000;5,457345989;1
7;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0;0; ;0,987739231;0,9924628457507130000;0,915013163931991000000;8,464324326;1
8;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0;0; ;0,98996692;0,9938325288670580000;0,939676583177956000000;5,763253726;1
9;0;0;0;0;-0,390625;0;0;0;-1,5625;3,34375;0;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0;0; ;0,992423103;0,9953420852043290000;0,956532826551185000000;4,057284557;1
10;0;0;0;0;0;-0,390625;0;0;0;0;3,34375;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0;0; ;0,893853612;0,8987161034526130000;0,883895833975314000000;1,676698646;1
11;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0;0; ;0,787981639;0,7925335620489490000;0,773272995815342000000;2,490784799;1
12;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0;0; ;0,454360289;0,4583982960323660000;0,434397895682412000000;5,524980804;-1
13;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0;0;0;0; ;0,79098188;0,7943696101164680000;0,773272995815342000000;2,728223333;1
14;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;3,34375;0;0;0;0;-0,390625;0;0;0;0;0; ;0,899724651;0,9023105737347830000;0,883895833975314000000;2,08336085;1
15;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;0;3,34375;-1,5625;0;0;0;-0,390625;0;0;0;0; ;0,95377227;0,9582485164264940000;0,956532826551185000000;0,179365499;1
16;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0;0; ;0,938233303;0,9424555408217470000;0,939676583177956000000;0,295735543;1
17;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0;0; ;0,915188995;0,9189816803175840000;0,915013163931991000000;0,433711398;1
18;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,90625;-1,5625;0;0;0;-0,390625;0; ;0,940807865;0,9440194632636430000;0,939676583177956000000;0,462167533;1
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;3,34375;0;0;0;0;-0,390625; ;0,958907535;0,9613722444262730000;0,956532826551185000000;0,505933277;1
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;0;2,953125;-1,5625;0;0;0; ;0,979596812;0,9829792076245960000;0,985316021947987000000;0,237163942;1
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,515625;-1,5625;0;0; ;0,978268573;0,9813071497095480000;0,983113614312774000000;0,183749322;1
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,515625;-1,5625;0; ;0,97738457;0,9799086845463110000;0,980962482628943000000;0,107424912;1
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;4,515625;-1,5625; ;0,980883529;0,9828247418741980000;0,983113614312774000000;0,029383424;1
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,390625;0;0;0;-1,5625;2,953125; ;0,984449954;0,9858030703601930000;0,985316021947987000000;0,04943068;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Interações;10;;1,921920798;
